,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
87,2009,65+,2471,81.54,85.53,2661,1126,1062,350,123,22,880,287,733,20,0,257,219,57,65,121,2766,603,390,0,223,21,7,8
88,2008,<1 Year,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,174,60,77,0,12,8,5,7
89,2008,1-5 Years,129,90.68,94.51,137,77,39,18,3,46,0,13,0,3,0,58,9,0,2,6,291,119,123,0,19,6,6,1
90,2008,6-10 Years,130,91.39,99.21,149,73,46,22,8,58,0,28,0,1,0,40,4,0,7,11,169,40,75,0,16,0,0,4
91,2008,11-17 Years,435,85.91,98.29,486,249,164,55,18,89,0,163,5,1,0,142,8,2,26,50,392,141,181,0,22,6,3,6
92,2008,18-34,1858,88.83,98.37,2254,1005,849,300,100,119,136,905,336,1,0,357,42,44,200,114,1756,740,573,1,149,23,11,10
93,2008,35-49,3725,89.72,95.82,4460,1999,1657,623,181,58,764,1219,933,10,0,423,467,89,346,151,3937,1644,983,2,320,53,20,17
94,2008,50-64,5711,86.02,91.27,6517,2843,2453,910,311,37,2074,977,1324,21,0,626,747,143,295,273,7774,2168,1442,0,542,102,36,29
95,2008,65+,2347,81.05,85,2517,1089,950,331,147,7,840,309,658,15,0,272,152,60,72,132,2519,562,358,0,187,26,9,11
96,2007,<1 Year,1,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,180,55,77,0,20,2,4,5
