,,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,All Recipient Ages,,"556,302","8,571",794,"10,582","4,266","61,778","7,139","5,729","1,792","1,522","29,701","14,141","1,934","2,093","26,399","9,917","5,540","4,200","6,325","7,471","1,885","13,854","11,493","18,942","10,383","4,978","10,170","1,400","3,222","3,555","1,770","17,186","3,136","37,954","15,024","1,291","20,983","5,305","5,047","25,899","2,917","1,831","8,166","1,483","10,541","41,489","4,211",880,"15,508","9,658","3,010","10,537",657,"22,043"
,35-49 Years,,"5,086",96,8,124,31,539,76,55,13,15,257,164,19,19,238,88,42,49,73,74,22,128,91,159,83,60,105,6,32,45,13,152,31,341,159,12,181,45,48,213,25,18,96,9,96,501,49,2,175,93,22,80,6,8
,50-64 Years,,"7,937",124,16,218,41,974,113,95,20,20,432,185,33,30,324,120,85,68,87,93,29,221,155,241,148,66,127,12,55,30,32,281,52,648,238,20,297,89,63,358,30,24,142,22,165,673,52,3,231,147,28,159,8,13
,65 +,,"3,666",32,5,122,18,398,66,40,15,14,243,82,10,20,172,56,34,19,38,48,15,110,96,119,71,33,82,6,29,21,13,106,21,304,105,9,117,46,31,179,14,8,50,11,56,289,28,3,109,81,11,54,5,2
2016,All Recipient Ages,,"19,060",280,22,545,117,"2,298",244,238,58,82,"1,080",514,64,72,855,326,169,159,183,220,50,478,414,669,353,200,388,27,97,138,53,600,129,"1,439",545,48,618,196,169,858,92,66,252,52,337,"1,693",143,16,528,352,78,364,21,71
,1-5 Years,,158,3,0,3,2,13,2,3,0,0,10,7,0,1,4,2,2,1,2,0,0,12,0,7,4,0,7,0,1,2,0,7,1,5,2,0,6,4,1,3,0,0,0,1,3,10,3,0,8,6,2,5,2,1
,6-10 Years,,133,4,0,3,2,9,3,5,0,0,11,4,1,0,5,1,1,0,2,3,0,0,3,3,1,1,2,0,1,0,0,0,1,10,6,0,3,1,1,10,0,0,1,0,2,22,3,0,1,2,1,2,0,2
,11-17 Years,,437,8,1,8,4,56,15,8,3,2,25,17,4,1,13,7,4,7,4,8,0,3,8,15,12,2,9,0,2,8,1,16,1,32,6,0,9,2,3,16,0,3,6,1,6,46,6,0,13,9,0,5,0,2
,18-34 Years,,"2,480",24,4,60,16,340,29,23,2,8,144,71,11,8,110,49,16,26,25,38,4,55,46,73,53,24,58,4,16,23,4,76,18,162,57,9,85,37,31,92,14,8,30,3,42,240,21,1,64,51,3,58,3,11
,35-49 Years,,"4,957",89,6,107,28,574,65,56,10,26,268,172,13,24,228,86,49,40,51,64,12,117,105,177,92,62,105,6,22,44,11,142,33,335,155,12,182,45,46,193,28,13,64,14,111,455,37,4,128,95,24,108,6,18
,50-64 Years,,"7,389",110,7,219,45,890,89,100,27,31,403,168,18,28,348,111,58,58,69,73,24,193,165,257,132,77,132,11,40,40,28,242,48,606,226,20,237,76,54,351,39,24,110,19,116,676,57,7,225,109,28,135,8,25
,65 +,,"3,506",42,4,145,20,416,41,43,16,15,219,75,17,10,147,70,39,27,30,34,10,98,87,137,59,34,75,6,15,21,9,117,27,289,93,7,96,31,33,193,11,18,41,14,57,244,16,4,89,80,20,51,2,12
2015,All Recipient Ages,,"17,878",250,33,450,106,"2,188",218,173,58,69,"1,095",545,75,72,712,293,156,140,175,215,55,550,383,620,339,146,319,40,120,136,62,603,98,"1,296",526,42,565,211,148,818,101,54,289,50,360,"1,507",127,25,488,311,71,307,25,63
,< 1 Year,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,163,1,0,3,1,16,2,2,1,1,11,2,1,2,5,4,1,3,1,1,2,3,4,12,9,2,2,0,1,1,0,1,0,12,2,0,9,1,2,6,0,0,1,1,2,17,1,1,4,1,1,4,0,3
,6-10 Years,,145,3,0,2,0,14,4,0,0,2,7,5,0,3,6,3,5,1,1,1,0,4,1,6,3,1,1,0,0,4,1,4,2,9,3,0,2,2,1,8,0,0,8,0,4,11,2,0,4,4,1,2,0,0
,11-17 Years,,408,8,1,4,5,42,12,4,1,1,28,19,0,4,19,7,2,1,6,8,0,10,9,8,8,5,6,1,5,1,1,12,1,28,10,0,18,6,3,10,0,1,3,1,9,47,3,0,8,8,2,7,1,4
,18-34 Years,,"2,519",36,2,45,17,323,42,31,6,6,154,70,9,17,119,47,14,16,28,37,4,51,48,76,49,22,57,4,15,21,6,70,13,178,76,4,72,30,27,114,15,7,45,4,55,234,23,3,69,49,7,39,3,10
,35-49 Years,,"4,834",78,6,109,35,562,57,43,13,22,284,165,21,11,176,86,31,51,54,65,16,133,97,200,84,47,100,14,33,36,18,155,30,306,141,7,152,60,44,217,36,17,72,13,128,443,35,2,141,80,17,70,7,14
,50-64 Years,,"6,736",98,15,198,32,826,72,64,26,26,388,209,31,26,272,96,73,54,54,78,20,234,136,205,133,47,96,13,47,40,21,256,34,514,210,24,232,69,46,317,39,18,107,20,121,573,42,13,184,97,30,132,11,17
,
,65 +,,"3,071",26,9,89,16,403,29,29,11,11,223,75,13,9,115,50,30,14,31,25,13,115,88,113,53,22,57,8,19,33,15,105,18,249,84,7,80,43,25,146,11,11,53,11,41,182,21,6,78,72,13,53,3,15
2014,All Recipient Ages,,"17,108",263,33,393,88,"2,009",225,183,60,55,961,464,88,78,772,314,187,137,159,245,72,499,375,608,295,151,333,36,118,113,53,509,119,"1,213",561,39,615,201,149,777,105,68,257,47,324,"1,348",136,28,426,368,82,291,15,63
,< 1 Year,,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,1-5 Years,,151,6,0,2,4,21,3,1,1,1,8,8,0,2,5,2,1,1,0,2,0,6,3,3,5,0,4,1,2,1,0,1,0,11,3,0,7,1,2,4,0,1,1,1,2,9,2,0,5,3,0,1,0,4
,6-10 Years,,128,1,0,1,1,20,0,1,0,0,7,4,2,1,7,2,0,3,0,4,1,1,1,3,4,0,3,0,1,0,0,6,0,6,4,1,4,3,0,7,0,2,0,1,2,14,0,0,5,1,1,1,0,2
,11-17 Years,,434,11,0,6,3,58,7,7,0,0,24,16,2,2,19,10,4,2,4,7,3,11,10,14,4,3,6,2,3,2,2,10,6,39,14,4,15,6,1,7,0,2,12,1,6,40,5,0,12,5,1,3,1,2
,18-34 Years,,"2,068",33,6,47,17,260,34,17,8,7,111,53,9,11,94,33,17,16,24,33,9,40,40,61,42,14,31,6,9,16,7,53,14,152,77,1,77,26,17,94,11,6,28,7,32,186,27,3,42,57,5,30,5,13
,35-49 Years,,"4,363",73,7,94,19,495,54,55,20,13,247,136,20,19,203,70,42,41,36,66,14,129,78,161,69,39,87,6,40,30,15,112,28,288,145,2,168,58,41,195,26,17,64,13,106,374,37,6,116,83,15,78,1,12
,50-64 Years,,"6,645",103,17,156,32,792,81,62,19,18,332,179,33,29,288,119,73,54,64,104,29,183,168,248,120,71,115,16,40,45,19,218,48,492,214,21,260,66,57,302,44,26,90,15,121,515,38,8,163,132,42,133,6,25
