,,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
2002,< 1 Year,5,1,0,0,0,0,0,0,2,0,0,2
,1-5 Years,141,52,1,18,1,2,0,44,10,0,2,11
,6-10 Years,157,49,0,42,0,4,0,35,4,1,8,14
,11-17 Years,465,104,1,134,6,1,0,87,5,5,74,48
,18-34 Years,"2,573",95,205,948,251,4,0,367,42,98,426,137
,35-49 Years,"4,666",48,815,"1,141",627,6,0,524,428,226,673,178
,50-64 Years,"5,240",23,"1,557",845,776,15,0,543,622,251,384,224
,65 +,"1,533",6,435,250,304,13,0,193,114,101,67,50
,Unknown,1,0,0,0,0,0,1,0,0,0,0,0
2001,< 1 Year,4,3,0,0,0,0,0,1,0,0,0,0
,1-5 Years,152,58,0,27,0,1,0,39,11,0,4,12
,6-10 Years,141,36,0,32,1,1,0,34,5,0,14,18
,11-17 Years,429,93,0,145,9,4,0,74,15,6,39,44
,18-34 Years,"2,684",86,214,934,260,3,0,406,55,105,471,150
,35-49 Years,"4,669",53,797,"1,065",626,11,1,561,446,197,742,170
,50-64 Years,"4,912",16,"1,402",755,744,22,0,577,571,238,370,217
,65 +,"1,288",4,342,176,273,8,0,193,117,68,39,68
2000,< 1 Year,4,1,0,1,0,0,0,2,0,0,0,0
,1-5 Years,107,37,0,14,0,1,0,33,7,0,3,12
,6-10 Years,126,28,0,30,1,1,0,35,5,0,12,14
,11-17 Years,392,85,2,129,5,0,0,76,10,1,44,40
,18-34 Years,"2,603",83,216,959,229,8,0,415,36,89,414,154
,35-49 Years,"4,652",43,772,"1,134",583,7,1,573,415,197,722,205
,50-64 Years,"4,535",26,"1,231",747,636,16,1,563,537,207,357,214
,65 +,"1,212",10,313,172,232,5,0,205,101,70,35,69
1999,< 1 Year,9,2,0,1,1,0,0,2,1,0,0,2
,1-5 Years,136,48,0,16,0,4,0,36,15,0,5,12
,6-10 Years,144,43,0,33,2,1,0,32,7,3,12,11
,11-17 Years,461,92,2,149,4,0,0,94,17,4,50,49
